,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean,TP_Touches,TP_Touches_long,TP_Touches_short,Len_of_traded_days
524,MGY,3,1,2,0.6666666666666666,0.0,1.0,0.021725160136059754,-0.00767427528557002,0.03642487784687464,0.0,0.0,0.0,3
525,BCO,2,0,2,0.5,,0.5,-0.014585269521134618,,-0.014585269521134618,0.0,,0.0,2
526,RDN,7,0,7,0.14285714285714285,,0.14285714285714285,-0.01905180089430907,,-0.01905180089430907,0.0,,0.0,4
527,CRC,8,5,3,0.5,0.4,0.6666666666666666,-0.004004726446863461,-0.00946188299028757,0.0050905344588433885,0.0,0.0,0.0,8
528,ENS,6,2,4,0.3333333333333333,1.0,0.0,0.000938385534715014,0.05717280568704626,-0.02717882454145061,0.0,0.0,0.0,11
529,NEOG,29,21,8,0.3103448275862069,0.3333333333333333,0.25,-0.030683868074245686,-0.03221973031221691,-0.026652229699571216,0.0,0.0,0.0,38
530,MAC,2,0,2,1.0,,1.0,0.01759034824744874,,0.01759034824744874,0.0,,0.0,3
531,TEX,10,4,6,0.5,0.75,0.3333333333333333,-0.00812410027610697,0.012486225311052469,-0.021864317334213262,0.0,0.0,0.0,23
532,TNET,11,4,7,0.45454545454545453,0.0,0.7142857142857143,-0.003599179017542461,-0.0318368916831403,0.01253665679137059,0.0,0.0,0.0,12
533,GPI,4,2,2,0.75,1.0,0.5,-0.013660961200712642,0.030706443162125834,-0.05802836556355112,0.0,0.0,0.0,4
534,SWX,3,0,3,0.3333333333333333,,0.3333333333333333,-0.005370374793049714,,-0.005370374793049714,0.0,,0.0,3
535,BOX,23,18,5,0.5217391304347826,0.5555555555555556,0.4,-0.001164662050504256,-0.001388846207205831,-0.0003575990863785858,0.0,0.0,0.0,23
536,OTTR,8,1,7,0.25,0.0,0.2857142857142857,-0.023148562015262185,-0.06949041503541213,-0.01652829729809791,0.0,0.0,0.0,3
537,VLY,1,1,0,0.0,0.0,,-0.007777971756264479,-0.007777971756264479,,0.0,0.0,,0
538,LANC,6,4,2,0.5,0.25,1.0,0.007348281757140485,-0.0045524943509450255,0.031149833973311503,0.0,0.0,0.0,17
539,SHAK,26,6,20,0.3076923076923077,0.3333333333333333,0.3,-0.008945956663665227,-0.0008441265095692043,-0.011376505709894036,0.0,0.0,0.0,35
540,GMS,8,4,4,0.75,0.75,0.75,0.02329315584868019,0.005765824408620102,0.04082048728874029,0.0,0.0,0.0,13
541,UMBF,8,5,3,0.75,0.8,0.6666666666666666,0.016281970766569027,0.009515740685496123,0.02755902090169053,0.0,0.0,0.0,2
542,RPD,40,15,25,0.475,0.4666666666666667,0.48,-0.012516914471389983,0.008729437005675746,-0.02526472535762942,0.0,0.0,0.0,37
543,HGV,6,5,1,0.5,0.4,1.0,0.005532159057544433,-0.0017654918653710813,0.042020413672121996,0.0,0.0,0.0,9
544,IRTC,20,14,6,0.4,0.5,0.16666666666666666,-0.013962473186144835,-0.0013295042213533862,-0.0434394007706582,0.0,0.0,0.0,48
545,BDC,1,1,0,1.0,1.0,,0.028994357043394085,0.028994357043394085,,0.0,0.0,,10
546,HAE,6,5,1,0.5,0.4,1.0,-0.006747910148512057,-0.008781840500739994,0.003421741612627617,0.0,0.0,0.0,14
547,ORA,3,3,0,0.0,0.0,,-0.021669114775444937,-0.021669114775444937,,0.0,0.0,,2
548,PCH,2,0,2,0.5,,0.5,-0.011952823234353233,,-0.011952823234353233,0.0,,0.0,1
549,WDFC,10,2,8,0.8,1.0,0.75,0.019146866143771018,0.0320367189453987,0.015924402943364092,0.0,0.0,0.0,24
550,AVNT,9,1,8,0.3333333333333333,0.0,0.375,-0.006626845490882496,-0.06324594794879615,0.0004505423163567103,0.0,0.0,0.0,6
